Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
107,"4.419","-0.1245","-0.0772","9.7007","200.0476",
108,"4.508","-0.1149","-0.0341","9.7965","199.917",
109,"4.51","-0.0431","0.1047","9.9497","200.0002",
110,"4.519","-0.1101","-0.0533","9.9832","200.0835",
111,"4.613","-0.0192","0.0281","10.1173","199.9947",
112,"4.619","0.0431","-0.0054","9.8491","200.0776",
113,"4.72","0.2586","0.3154","9.9832","200.0718",
114,"4.814","-0.0048","0.0425","9.8252","200.025",
115,"4.897","-0.2059","-0.0533","9.9353","199.5567",
116,"4.898","-0.1245","0.1143","9.9736","200.1306",
117,"4.902","-0.0622","-0.015","10.0694","200.2126",
118,"4.98","-0.1628","0.0377","9.9593","200.0022",
119,"4.993","0.0431","0.0808","9.921","200.1246",
120,"5.075","-0.067","0.0569","9.8491","199.9561",
121,"5.083","-0.091","0.0186","10.055","200.0374",
122,"5.086","-0.0766","0.0138","10.1412","200.0781",
123,"5.165","-0.1197","0.0569","10.079","200.1824",
124,"5.17","-0.0048","0.0281","9.9976","200.2229",
125,"5.261","-0.1006","0.1239","9.9641","200.1763",
126,"5.268","0","0.0904","10.0694","200.2167",
127,"5.278","-0.0479","0.0473","9.9401","199.9861",
128,"5.287","-0.0958","0.076","9.9066","200.1071",
129,"5.368","-0.0814","0.0521","9.9689","200.13",
130,"5.373","-0.0335","0.0042","9.9928","200.2507",
131,"5.383","-0.0383","0.0186","9.9545","200.0611",
132,"5.464","-0.0958","0.009","9.8731","200.2043",
133,"5.553","-0.0862","0.076","9.9258","200.1184",
134,"5.641","-0.1006","-0.0676","10.0934","200.2605",
135,"5.727","-0.0335","-0.0245","9.9497","200.1353",
136,"5.732","-0.1484","-0.0102","9.8635","200.2145",
137,"5.743","0.0048","0.009","9.9545","200.2542",
138,"5.82","-0.0383","0.0808","10.0024","200.09",
139,"5.825","-0.1101","0.0425","10.055","200.169",
140,"5.832","-0.0718","-0.0341","9.9641","200.2085",
141,"5.842","-0.1053","0.076","10.0503","200.2874",
142,"5.932","-0.0383","0.1095","10.0215","200.2024",
143,"5.934","0.0048","0.0138","9.8779","200.2417",
144,"5.944","-0.0335","-0.0054","9.9353","200.281",
145,"6.048","0.0096","-0.0245","9.9258","200.051",
146,"6.051","-0.0048","-0.0676","10.0598","200.0901",
147,"6.058","-0.0335","0.0712","9.7294","200.1684",
148,"6.139","-0.1006","-0.0341","9.9545","200.2685",
149,"6.229","-0.0862","0.1239","9.9162","200.1846",
150,"6.235","-0.0096","0.0042","10.1029","200.2623",
151,"6.241","-0.0814","-0.0389","10.1173","200.3011",
152,"6.315","-0.0575","0.0233","10.0215","200.0626",
153,"6.319","-0.0144","0.0425","9.9976","200.14",
154,"6.327","0.0192","0.0856","9.8444","200.1787",
155,"6.402","-0.0335","-0.0245","10.0503","200.2392",
156,"6.404","-0.0287","0.0521","10.1173","200.2778",
157,"6.49","-0.1197","-0.0102","10.0215","200.1562",
158,"6.495","-0.0862","-0.015","9.9593","200.1947",
159,"6.501","0.0192","0.0281","9.9114","200.2716",
160,"6.508","-0.0048","0.0186","9.9018","200.3101",
161,"6.591","-0.0718","0.0233","9.921","200.1889",
162,"6.69","-0.0431","0.0186","9.9928","200.1831",
163,"6.696","-0.0958","0.0042","9.988","200.2212",
164,"6.776","-0.0622","0.009","9.83","200.3188",
165,"6.867","-0.1245","0.0377","9.9306","200.2367",
166,"6.875","-0.0575","-0.0102","10.1125","200.3126",
167,"6.96","-0.0527","-0.0389","9.9401","200.193",
168,"7.047","0.0383","-0.015","9.9641","200.3651",
169,"7.055","-0.0144","0.0377","9.8491","200.1873",
170,"7.062","-0.0144","-0.0245","10.0646","200.2249",
171,"7.135","-0.0862","-0.0245","10.0359","200.2461",
172,"7.143","-0.0766","0.009","9.9928","200.3587",
173,"7.221","-0.0192","0.0233","9.9258","200.2028",
174,"7.23","0.0287","0.0233","9.9689","200.2402",
175,"7.309","-0.0383","0.0425","9.897","200.3358",
176,"7.422","-0.0335","0.0138","9.9353","200.1915",
177,"7.429","-0.1053","-0.015","9.897","200.2286",
178,"7.529","-0.0096","0.0569","9.9593","200.2598",
179,"7.614","-0.0239","0.0281","9.9306","200.3911",
180,"7.734","-0.0622","0.0042","9.8587","200.2481",
181,"7.829","-0.0814","0.0281","9.921","200.2423",
182,"7.921","-0.1628","0.0904","10.0598","200.4452",
183,"7.929","-0.0479","0.076","10.1029","200.2731",
184,"8.012","-0.0479","0.0569","9.9928","200.3298",
185,"8.11","-0.091","0.0138","10.0359","200.3237",
186,"8.117","-0.0239","-0.0006","10.0359","200.3962",
187,"8.201","-0.0096","0.0425","10.0503","200.3178",
188,"8.291","-0.067","0.0569","9.8252","200.4458",
189,"8.296","-0.0096","0.0281","9.9928","200.2759",
190,"8.301","-0.0622","-0.0581","10.012","200.3119",
191,"8.378","-0.1101","0.0952","10.0215","200.3677",
192,"8.468","-0.0622","0.0712","9.8013","200.2902",
193,"8.549","-0.0622","0.0233","9.9689","200.3814",
194,"8.56","-0.0862","0.0042","9.9545","200.4883",
195,"8.638","-0.0622","0.0521","9.9353","200.3398",
196,"8.644","-0.1245","0.0425","10.012","200.3753",
197,"8.653","-0.1053","0.0617","10.0024","200.4464",
198,"8.728","0","0.0186","9.9641","200.2631",
199,"8.743","-0.0479","0.0042","10.0024","200.3693",
200,"8.748","0.0192","0.0281","9.9928","200.4047",
201,"8.753","-0.0862","0.0233","9.9641","200.4401",
202,"8.859","-0.0575","0.076","9.897","200.5044",
203,"8.866","-0.0862","0.0473","10.1077","200.3026",
204,"8.877","-0.0431","0.1047","10.055","200.3378",
205,"8.957","-0.1006","0.0473","9.9784","200.2618",
206,"8.97","-0.0862","0.0712","9.9928","200.332",
207,"9.054","-0.0575","-0.0341","10.0503","200.4565",
208,"9.069","-0.0287","0.0664","10.1412","200.3262",
209,"9.145","-0.0287","-0.0198","9.9545","200.3805",
210,"9.16","-0.0192","0.0856","9.9306","200.5201",
211,"9.168","-0.0527","0.0425","9.9593","200.3204",
212,"9.179","-0.0096","0.0425","10.0646","200.3901",
213,"9.303","-0.0958","-0.0054","9.8539","200.359",
214,"9.461","-0.0048","-0.0581","9.9018","200.5009",
215,"9.466","-0.0383","0.0138","9.9784","200.57",
216,"9.472","-0.1341","0.0233","9.9976","200.3723",
