Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
108,"1.394","9.8067","0.0042","-0.0628","199.2356",
109,"1.394","9.6582","-0.1538","-0.1251","199.3186",
110,"1.395","9.6917","-0.0198","-0.264","199.4016",
111,"1.395","9.8545","-0.0437","-0.2113","199.4846",
112,"1.396","9.8258","-0.1634","-0.2927","199.5676",
113,"1.396","9.7444","-0.082","-0.173","199.6507",
114,"1.397","9.7923","-0.0533","-0.1395","199.8997",
115,"1.4","9.6917","-0.0389","0.1718","200.0657",
116,"1.401","9.7348","-0.0724","-0.0724","200.3148",
117,"1.718","9.7779","-0.1012","0.0664","194.967",
118,"1.719","9.8019","-0.1107","-0.3118","195.2093",
119,"1.732","9.7061","-0.0676","0.1335","196.5015",
120,"1.742","9.821","-0.0916","-0.0293","196.7438",
121,"1.972","9.7205","-0.1538","-0.0102","194.2699",
122,"1.976","9.7875","-0.1586","0.234","194.7455",
123,"2.343","9.7827","-0.0628","-0.0964","189.7492",
124,"2.349","9.8402","-0.1251","0.0042","190.1342",
125,"2.355","9.7683","-0.0628","-0.1251","189.9514",
126,"2.358","9.7588","-0.0198","-0.2304","190.2587",
127,"2.579","9.7588","-0.0868","-0.082","187.6639",
128,"2.581","9.73","-0.1012","-0.0581","187.8151",
129,"2.589","9.8162","-0.1538","-0.082","187.7924",
130,"2.595","9.7731","-0.0868","-0.0389","188.5468",
131,"2.693","9.7588","-0.1251","-0.1251","187.5749",
132,"2.695","9.7683","-0.015","-0.0389","188.0242",
133,"2.697","9.7875","-0.0485","0.0233","188.6232",
134,"2.704","9.8067","-0.1395","-0.0581","190.4953",
135,"2.786","9.7779","-0.0964","-0.0389","189.7663",
136,"2.788","9.7396","-0.1107","-0.0198","190.0643",
137,"2.793","9.73","-0.1395","-0.2161","190.4079",
138,"2.795","9.6917","-0.0533","-0.1873","190.7795",
139,"2.797","9.754","-0.1299","0.2005","191.2254",
140,"2.799","9.7205","-0.0581","0.0664","191.6713",
141,"2.8","9.7157","-0.0676","-0.2352","192.0429",
142,"2.804","9.8258","-0.0868","-0.0581","192.4145",
143,"2.887","9.7157","-0.0054","-0.0916","191.9772",
144,"2.889","9.7492","-0.0772","-0.1251","191.9447",
145,"2.891","9.7205","-0.0772","-0.0389","192.5348",
146,"2.896","9.7636","-0.0916","-0.0581","192.6823",
147,"3.095","9.6822","-0.1251","0.1047","190.1534",
148,"3.097","17.2813","0.8709","0.2101","190.5168",
149,"3.099","9.8641","-0.1634","-0.1586","190.8802",
150,"3.102","9.8162","-0.1395","0.0281","191.171",
151,"3.105","9.7396","-0.0916","-0.0581","192.1886",
152,"3.112","9.7971","-0.0341","0.0138","192.5521",
153,"3.114","9.754","-0.0916","-0.0341","193.0609",
154,"3.132","9.754","-0.1059","-0.1107","195.1291",
155,"3.152","9.6726","-0.0628","-0.0485","197.4494",
156,"3.175","9.7827","-0.1012","-0.082","198.7786",
157,"3.271","9.6774","-0.0628","-0.0628","197.7007",
158,"3.274","9.6774","-0.0676","-0.1107","198.4907",
159,"3.277","9.754","-0.1203","0.0233","199.0652",
160,"3.28","9.821","-0.0628","-0.2113","199.5678",
161,"3.282","9.6965","-0.0868","0.0569","199.9987",
162,"3.296","9.7061","-0.0676","-0.1012","201.5239",
163,"3.297","9.754","-0.0964","-0.0964","201.7388",
164,"3.392","9.7252","-0.1107","-0.1443","201.2013",
165,"3.393","9.6726","-0.1203","0.0138","201.0768",
166,"3.396","9.754","-0.0916","-0.1012","202.1437",
167,"3.409","9.7061","-0.0916","-0.1059","202.2859",
168,"3.417","9.754","-0.0964","-0.1012","202.4993",
169,"3.49","9.9024","-0.1443","0.2101","201.8913",
170,"3.492","9.7971","-0.0868","-0.173","202.2452",
171,"3.494","9.7683","-0.1778","-0.1059","202.1191",
172,"3.506","9.754","-0.0964","-0.1059","202.3309",
173,"3.596","9.7683","-0.1012","-0.1347","201.043",
174,"3.599","9.754","-0.082","-0.015","201.3936",
175,"3.6","9.7444","-0.24","-0.0916","201.7442",
176,"3.603","9.7492","-0.0485","-0.0581","202.0948",
177,"3.605","9.754","-0.0916","-0.1107","202.2351",
178,"3.618","9.754","-0.0964","-0.1107","202.4454",
179,"3.634","9.7588","-0.0964","-0.1107","202.5857",
180,"3.7","9.6678","-0.0389","-0.2735","201.4442",
181,"3.702","10.2424","0.8853","0.2819","201.6531",
182,"3.719","9.7588","-0.0916","-0.1107","202.4887",
183,"3.73","9.7923","-0.0628","-0.1107","202.1556",
184,"3.811","9.8306","-0.2161","-0.0772","201.425",
185,"3.813","9.7731","-0.0102","-0.1347","201.6324",
186,"3.817","9.7348","-0.1203","-0.1203","202.1856",
187,"3.819","9.7971","-0.0293","-0.264","202.5313",
188,"3.903","9.7827","-0.1012","-0.1155","201.3374",
189,"3.907","9.8402","-0.0916","-0.2735","201.6807",
190,"3.909","9.7875","-0.0006","-0.1203","202.0927",
191,"3.911","9.7444","-0.0916","-0.1155","202.3674",
192,"3.916","9.7588","-0.0868","-0.1155","202.4361",
193,"3.921","9.7588","-0.0868","-0.1155","202.5047",
194,"3.996","9.7109","-0.0868","-0.2017","202.0011",
195,"3.998","9.7588","-0.0868","-0.1203","202.1375",
196,"4.002","9.7588","-0.0868","-0.1203","202.2739",
197,"4.083","9.7157","-0.1347","-0.0964","201.7597",
198,"4.09","9.7875","-0.0006","-0.1203","202.5064",
199,"4.102","9.8114","-0.0772","-0.1778","202.1139",
200,"4.107","9.7588","-0.082","-0.1347","202.1817",
201,"4.112","9.7588","-0.0868","-0.1251","202.3171",
202,"4.189","9.7205","-0.0964","-0.1347","202.4805",
203,"4.196","9.7588","-0.0868","-0.1347","202.5479",
204,"4.2","9.7588","-0.0868","-0.1347","202.2252",
205,"4.206","9.7588","-0.0868","-0.1347","202.2925",
206,"4.285","9.8019","0.0186","-0.1347","202.3879",
207,"4.294","9.7588","-0.0868","-0.1347","202.5219",
208,"4.399","9.73","-0.1012","-0.0628","201.0495",
209,"4.401","9.7348","-0.0868","-0.1395","202.2443",
210,"4.491","9.8785","-0.0964","-0.149","201.7439",
211,"4.494","9.8114","-0.1299","-0.0916","202.1404",
212,"4.497","9.821","-0.0293","-0.3071","202.5368",
213,"4.506","9.7588","-0.0868","-0.149","202.6029",
214,"4.511","9.7588","-0.0868","-0.149","202.2866",
215,"4.59","9.8258","-0.0724","-0.1012","201.7236",
216,"4.592","9.7923","-0.0772","-0.1347","202.1832",
217,"4.596","9.7636","-0.0868","-0.1538","202.577",
218,"4.605","9.7636","-0.0868","-0.1538","202.1973",
219,"4.681","9.7396","-0.0868","-0.1682","201.6385",
220,"4.683","9.7731","-0.082","-0.0198","202.095",
221,"4.685","9.7636","-0.0485","-0.1538","202.421",
222,"4.694","9.7636","-0.0868","-0.1538","202.4862",
223,"4.769","9.7923","-0.0868","-0.1538","201.4896",
224,"4.772","9.8258","-0.0676","-0.1203","202.0079",
225,"4.775","9.7636","-0.0868","-0.1538","202.2023",
226,"4.783","9.7636","-0.0868","-0.1538","202.2671",
227,"4.862","9.7636","-0.0198","-0.2975","201.9075",
228,"4.87","9.6486","-0.0964","-0.24","202.0507",
229,"4.892","9.8306","-0.0533","-0.1586","202.5657",
230,"4.967","9.7779","-0.015","-0.1634","202.1431",
231,"4.972","9.7683","-0.0916","-0.1586","202.157",
232,"4.981","9.7683","-0.0916","-0.1586","202.2209",
233,"5.061","9.8593","-0.0533","-0.1538","201.9298",
234,"5.066","9.7636","-0.0868","-0.1634","202.6303",
235,"5.105","9.7636","-0.0868","-0.1634","202.4524",
236,"5.173","9.7492","-0.0628","-0.3693","201.7339",
237,"5.177","9.7157","-0.0868","-0.1682","202.2391",
238,"5.188","9.7396","-0.0868","-0.1682","202.4285",
239,"5.193","9.7636","-0.0868","-0.173","202.4916",
240,"5.269","9.7683","-0.0868","-0.1873","202.5804",
241,"5.351","9.7348","-0.0198","-0.2209","201.5562",
242,"5.353","9.7683","-0.1826","-0.0341","201.931",
243,"5.355","9.6774","-0.1107","-0.3023","202.4309",
244,"5.447","9.8354","-0.1826","-0.3023","201.414",
245,"5.449","9.73","-0.0581","-0.2927","201.6003",
246,"5.453","9.821","-0.0868","-0.2879","202.0349",
247,"5.455","9.7588","-0.0868","-0.1826","202.2833",
248,"5.457","9.7636","-0.082","-0.1826","202.4074",
249,"5.539","9.7683","-0.0676","-0.149","201.5822",
250,"5.542","9.7013","-0.1395","-0.2927","202.0141",
251,"5.545","9.7444","-0.0868","-0.1826","202.2609",
252,"5.555","9.7636","-0.0868","-0.1826","202.3843",
253,"5.56","9.7636","-0.0868","-0.1826","202.446",
254,"5.633","9.754","-0.1538","-0.1347","201.9184",
255,"5.635","9.7396","-0.1203","-0.2735","202.2871",
256,"5.638","9.8067","-0.0293","-0.149","202.5329",
257,"5.642","9.7636","-0.0868","-0.1873","202.1775",
258,"5.652","9.7636","-0.0868","-0.1873","202.3615",
259,"5.659","9.7636","-0.0868","-0.1873","202.4228",
260,"5.768","9.7588","-0.0868","-0.1634","201.4247",
261,"5.772","9.7157","-0.0772","-0.1203","201.7294",
262,"5.774","9.7157","-0.1059","-0.2496","202.156",
263,"5.776","9.7444","-0.0054","-0.2975","202.1692",
264,"5.862","9.8019","-0.1012","-0.0916","201.6503",
265,"5.867","9.7205","-0.0676","-0.3741","202.1954",
266,"5.869","9.7444","-0.0868","-0.2113","202.4377",
267,"5.879","9.754","-0.0868","-0.2113","202.2085",
268,"5.962","9.7396","-0.1203","-0.1443","201.8731",
269,"5.967","9.7061","-0.0676","-0.3645","202.2946",
270,"5.97","9.7444","-0.1873","-0.2161","202.5354",
271,"5.977","9.754","-0.082","-0.2161","202.1871",
272,"6.06","9.7348","-0.0102","-0.1873","201.7342",
273,"6.062","9.754","-0.1299","-0.3023","202.1531",
274,"6.065","9.7636","-0.1107","-0.3071","202.4523",
275,"6.074","9.7588","-0.0868","-0.2304","202.572",
276,"6.08","9.7588","-0.0868","-0.2304","202.2258",
277,"6.16","9.73","-0.1107","-0.4459","201.7754",
278,"6.162","9.7396","-0.0868","-0.5513","202.1323",
279,"6.165","9.7923","-0.0916","-0.2352","202.4297",
280,"6.17","9.7588","-0.0916","-0.24","202.4892",
281,"6.176","9.7731","-0.0916","-0.24","202.6082",
282,"6.25","9.7444","-0.0916","-0.2783","202.2892",
283,"6.261","9.7588","-0.0916","-0.2448","202.4074",
284,"6.338","9.754","-0.0916","-0.2448","201.9608",
285,"6.348","9.663","-0.082","0.2101","201.68",
286,"6.352","9.754","-0.173","0.3298","202.0327",
287,"6.355","9.6151","-0.0628","-0.24","202.2678",
288,"6.372","9.7492","-0.0916","-0.24","202.4442",
289,"6.454","9.7444","-0.0964","-0.2304","202.1883",
290,"6.459","9.7444","-0.0916","-0.2304","202.3052",
291,"6.47","9.7444","-0.0964","-0.2352","202.3636",
292,"6.548","2.3559","-1.6334","-1.3988","201.645",
293,"6.551","-13.7762","-17.3729","-6.0962","202.284",
294,"6.562","9.7396","-0.1012","-0.2352","202.3421",
295,"6.567","9.7396","-0.1012","-0.2352","202.4583",
296,"6.638","-5.9999","-0.0341","19.6127","202.3086",
297,"6.646","9.7205","-0.1012","-0.2304","202.5401",
298,"6.735","0.1293","0.0425","12.1141","201.8273",
299,"6.738","0.0479","0.4256","9.8348","202.2876",
300,"6.742","-0.2394","0.0664","-0.2161","202.5177",
301,"6.75","9.6869","-0.1012","-0.2161","202.5753",
302,"6.832","-0.1197","-0.0628","9.8348","201.8664",
303,"6.834","-0.1053","0.0808","10.0167","202.1524",
304,"6.841","9.6151","-0.0916","-0.173","202.4384",
305,"6.846","9.6103","-0.0868","-0.1634","202.5528",
306,"6.921","-0.0431","0.0904","9.8587","201.6776",
307,"6.926","-0.0192","0.0186","9.8444","201.9619",
308,"6.932","-0.0958","-0.0676","9.9306","202.3032",
309,"6.942","8.8873","-0.0772","0.2628","202.4738",
310,"6.971","8.3701","-0.0772","0.3298","202.5876",
311,"7.028","-0.0766","-0.0102","9.9736","201.717",
312,"7.03","-0.0048","0.0617","9.9736","202.0564",
313,"7.032","-0.0096","-0.0676","1.1103","202.3391",
314,"7.042","0.2203","-0.0628","1.1678","202.4522",
315,"7.122","-0.0718","0.0281","9.9545","201.5312",
316,"7.124","-0.0862","0.0473","10.0503","201.6436",
317,"7.127","-0.1341","0.0138","9.8491","201.981",
318,"7.13","-0.0766","0.0377","9.2123","202.3184",
319,"7.136","0.0096","-0.0341","9.4469","202.3746",
320,"7.222","-0.0527","0.0569","9.9066","201.4033",
321,"7.224","-0.091","0.0904","9.8491","201.5711",
322,"7.227","-0.0096","0.0186","9.988","201.8506",
323,"7.23","0.0239","0.0138","9.9162","202.242",
324,"7.239","-0.0287","-0.015","9.8635","202.4098",
325,"7.315","-0.0335","0.0664","9.9401","202.2658",
326,"7.32","-0.0479","0.0425","9.9018","202.2221",
327,"7.332","-0.0431","0.0138","9.9114","202.3333",
328,"7.335","-0.0431","0.0138","9.9114","202.3889",
329,"7.417","-0.0479","-0.0054","9.9114","201.9689",
330,"7.419","-0.0096","0.0138","9.9641","202.0365",
331,"7.432","-0.0527","0.0138","9.9258","202.313",
332,"7.517","-0.0575","0.0186","9.9401","202.5015",
333,"7.525","-0.0575","0.0186","9.9497","202.2379",
334,"7.528","-0.0527","0.0186","9.9497","202.2929",
335,"7.534","-0.0527","0.0186","9.9545","202.4028",
336,"7.621","-0.1101","-0.0102","9.9784","201.6168",
337,"7.63","0.0383","0.0569","9.9114","202.4371",
338,"7.655","-0.0958","0.0425","9.8252","202.1754",
339,"7.673","-0.0575","0.0186","9.8587","202.3392",
340,"7.699","-0.0527","0.0186","9.9593","202.2417",
341,"7.764","0.0479","0.0138","10.0407","201.8307",
342,"7.767","-0.0527","0.0186","9.9593","202.3192",
343,"7.786","-0.1245","0.0664","9.921","202.5364",
344,"7.861","-0.1101","0.0233","9.9689","201.5976",
345,"7.864","-0.0958","-0.0006","9.9593","201.7056",
346,"7.867","-0.1053","-0.0533","9.9353","201.9755",
347,"7.87","-0.0527","-0.0102","10.1077","202.2455",
348,"7.877","-0.0622","0.009","10.0024","202.4614",
349,"7.887","-0.0527","0.0186","9.9593","202.5154",
350,"7.892","-0.0527","0.0186","9.9593","202.2031",
351,"7.969","0.0048","0.009","10.0263","201.8503",
352,"7.976","-0.0239","-0.0389","9.9593","202.441",
353,"7.995","-0.0527","0.0186","9.9593","202.2377",
